인물,임원직수,소속조직수,참여사건수,활동영역수,영역
이쿠하시 도시코,0,0,1,0,
이쿠하시 요네사부로,1,1,1,0,
이토 구마사부로,1,1,1,0,
이토 기치사부로,1,1,3,2,경제 ·동원
이토 모토타로,0,0,5,1,동원
이토 쓰네조,1,1,1,0,
이토 요시,0,0,1,0,
이토 히로부미,3,1,12,0,
이하영,1,0,0,0,
이헌영,1,1,0,0,
임선준,1,0,0,0,
장승원,1,1,0,0,
장지연,1,0,0,0,
전우,1,0,0,0,
정재학,0,1,2,1,경제
정해붕,0,2,3,1,경제
조병호,1,1,0,0,
조중응,1,0,0,0,
최만달,1,1,1,0,
하라 신스케,0,0,1,0,
하라 이와타로,0,1,1,0,
하라다 기이치,0,1,1,0,
하라다 리베,2,0,0,0,
하라타 요시조,1,1,2,0,
하루노미야 요시히토,0,0,1,0,
하마구치 오사치,1,0,0,0,
하세가와 가메타로,1,0,0,0,
하세가와 다이치,0,0,1,0,
하세가와 야소키치,1,1,1,0,
하세가와 요시미치,3,1,1,0,
하야시 곤스케,1,0,0,0,
하야시 다다스,1,0,0,0,
하야시 이치리키,0,0,1,0,
하야시 이치조,1,0,0,0,
하야시 진시치,3,3,4,2,행정 ·언론
하야시 한스케,1,1,1,0,
하자마 후사타로,1,0,0,0,
하치야 겐,1,1,1,0,
하타,1,0,0,0,
하타모토 기헤이,1,2,2,1,행정
한국 황제,0,0,5,0,
한상룡,1,0,0,0,
한진창,1,1,0,0,
헤라이,1,0,0,0,
호다 슈,0,0,1,0,
호리케 도라조,1,1,0,1,경제
호쿠조 준조,0,1,1,0,
혼다 고스케,1,0,1,0,
후루쇼 모토사네,1,1,3,1,경제
후루쇼 야스요,0,0,1,0,
후루야 사다조,1,1,0,0,
후루야 지스케,0,1,1,0,
후루카와 분노스케,0,1,1,0,
후리하타 기요미,0,0,1,0,
후시미노미야 히로야스,0,0,1,0,
후와 다로시치,1,1,1,0,
후지나와 분준,6,6,9,2,경제 ·언론
후지노,1,0,0,0,
후지모토,1,1,0,0,
후지오카 요시오,0,0,1,0,
후지타 다카시,0,0,1,0,
후카와 고테쓰,0,1,1,0,
후쿠나가 도쿠지로,4,3,8,2,행정 ·경제
후쿠치 기사쿠,5,4,7,3,행정 ·경제 ·언론
후쿠타 가쿠헤이,1,1,0,0,
후쿠타 마스베,1,0,0,0,
후쿠타케 쇼조,1,1,1,0,
히다카(출장원),1,1,1,0,
