한글표기,한자표기,대구물어_빈도,재집계_언급수,등장단락수,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,병합된_이표기
한진창,韓鎭昌,0,5,2,1,0,0,0,신규: 관찰사(본문 440 열거)
후시미노미야 히로야스,伏見宮博恭,1,5,2,0,0,0,0,
후쿠타케 쇼조,福武庄藏,2,5,3,0,1,1,0,
가도타 기쿠,門田菊,1,4,2,0,1,0,0,
가와시마 규에몬,川島久右衛門,2,4,2,0,1,0,0,
고라 요시마루,高羅吉丸,1,4,3,0,0,0,0,
고미야 미호마쓰,小宮三保松,2,4,2,0,0,0,0,
고야마 시치로,小山七郎,2,4,2,0,0,0,0,
고쿠부,国分,0,4,2,0,0,0,0,신규: 통감부 비서관(단락 817·908)
구노 주키치,久納忠吉,1,4,1,0,0,0,0,
구라토미 유자부로,倉富勇三郎,2,4,2,0,0,0,0,
기쿠카와 게이운,菊川渓雲,2,4,2,1,0,0,0,
나가에 후쿠조,長永福藏,1,4,2,0,0,0,0,
나가타 기겐,永田儀源,1,4,1,0,0,0,0,
나가하마 모리조,永濱盛三,2,4,2,0,0,0,0,
나마타메 신,生田目新,1,4,2,0,0,0,0,
나카니시 다몬,中西多門,2,4,2,0,1,0,0,
나카모토 가타로,中本嘉太郎,2,4,2,0,0,0,0,
나카무라 다카나오,中村敬直,2,4,2,0,0,0,0,
나카무라 도시마쓰,中村俊松,1,4,1,0,0,1,0,
나카이데 세이타로,中出清太郎,1,4,1,0,0,1,1,
나카타 사부로,中田三郎,2,4,2,0,0,0,0,
난부 센조,南部専三,1,4,1,0,0,0,0,
다나카 가나메,田中要,1,4,2,0,0,0,0,
다나카 나라키치,田中奈良吉,2,4,2,0,1,0,0,
다나카 요시하루,田中芳春,2,4,2,0,0,1,0,
다무라 도미조,田村富藏,2,4,2,1,0,1,0,
다와라 마고이치,俵孫一,2,4,2,0,0,0,0,
다카시마 고하치,高島五八,2,4,2,0,0,0,0,
다키하라 기타로,瀧原儀太郎,2,4,2,1,0,0,0,
데라카와 산조,寺川三藏,2,4,2,0,0,0,0,
도요타 슌스케,豊田俊助,2,4,2,0,0,0,0,도요타 슌스케(豐田俊助)
도카노 시게오,戸叶薫雄,2,4,2,0,0,0,0,
마쓰다 만로쿠,松田萬六,1,4,1,1,0,0,0,
마쓰이 시게루,松井茂,2,4,2,0,0,0,0,
마에자와 마사미,前澤成美,2,4,2,0,0,0,0,
마키 신이치,眞木深一,2,4,2,0,1,0,0,
모리우라 구마조,森浦熊藏,2,4,2,0,0,0,0,
무라타,村田,0,4,2,1,1,0,0,신규: 소장 — 이토 통감 수행(단락 908·1234)
사사모토 레이도,佐々本霊導,2,4,2,0,0,0,0,사사모토 레이도(佐々本靈導)
사사키 기요쓰나,佐々木清綱,1,4,1,0,0,0,0,
사사키 이치조,佐々木市臧,2,4,2,0,0,1,0,사사키 이치조(佐之木市藏)
사토 료헤이,佐藤良平,2,4,2,0,1,1,0,
세노 에이타로,妹尾英太郎,2,4,2,0,0,0,0,세노 에이타로(妹尾英太郞)
스기타 데이치,杉田定一,1,4,2,0,0,0,0,
스즈키 젠시치,鈴木善七,1,4,1,0,0,0,0,
스토 시즈야,首蕂諍也,1,4,1,0,0,0,0,
시게히사 유히코,重久雄彦,2,4,2,0,0,0,0,
시마다 시즈카,島田歸,1,4,1,0,0,0,0,
시마다 후미노스케,島田文之助,2,4,2,1,0,0,0,
시모조 에이타로,下條榮太郎,2,4,2,0,0,0,0,
시미즈 도쿠타로,清水徳太郎,2,4,2,0,1,0,0,
쓰루하라 사다키치,鶴原定吉,2,4,2,0,0,0,0,
아카호시 조조,赤星譲三,2,4,2,0,1,0,0,아카호시 조조(赤星讓三)
야마다 시게루,山田茂,2,4,2,0,0,0,0,
야마자키 가도요시,山崎角吉,2,4,2,0,0,1,0,
야스카와 와사부로,安川和三郎,2,4,2,1,0,1,0,
야하시 간이치로,矢橋寛一郎,1,4,1,0,0,0,0,
오다 센,織田選,0,4,2,0,0,0,0,신규: 단락 452
오치 치에코,,0,4,2,0,0,0,0,출처: 대구물어단체와인물.docx(대구소학교) — 한자 미상
오카모토 우이치,岡本宇一,2,4,2,0,1,0,0,
오카무라 마사오,岡村正雄,2,4,2,0,1,0,0,
오하타 조,大畠丞,0,4,2,0,0,0,0,신규: 단락 452
와다 유지,和田雄次,1,4,2,0,0,0,0,
와케 헤이지로,和氣平次郎,2,4,2,1,0,1,0,와키 헤이지로(和気平次郎)
요시미 젠이치,好見善市,1,4,1,0,0,0,0,
우메 겐지로,梅謙二郎,1,4,2,0,0,0,0,
우쓰노미야 젠이치,宇都宮善市,2,4,1,0,0,0,0,우쓰노미야(宇都宮)
우에다 기사부로,上田義三郎,2,4,2,0,0,0,0,우에다 기사부로(上田儀三郎)
우에다 요시오,上田義雄,2,4,1,0,1,1,0,
우에무라 린타로,植村臨太郎,2,4,2,0,0,0,0,
이병학,,0,4,3,1,1,1,0,"신규: 농공은행장(단락 401·1185·1229) — 한자 미상, 검증표본 판정 반영"
이상설,李相卨,0,4,2,0,0,0,0,신규: 헤이그 밀사 — 검증시트 누락 반영
이시카와 구스지로,石川楠次郎,2,4,2,0,0,0,0,
이우라 요시히사,井浦義久,2,4,2,0,0,0,0,
정해붕,鄭海鵬,0,4,4,1,1,0,0,신규: 대구 자산가(단락 245·895·1185·1229) — 2차 검증 누락 반영
하라다 리베,原田利兵衛,1,4,1,0,0,0,0,
하세가와 야소키치,長谷川八十吉,2,4,2,0,0,0,0,
호시노 미쓰키,星野光鬼,1,4,1,0,0,0,0,
후루야 사다조,古屋貞蔵,2,4,2,0,0,0,0,후루야 사다조(古屋貞藏)
후루야 지스케,古谷治輔,2,4,2,0,1,1,0,
후루카와 분노스케,古川文之助,2,4,1,1,1,1,1,
후카와 고테쓰,府川宏哲,2,4,2,0,0,1,0,
히로에 사와지로,廣江澤次郎,1,4,1,0,0,0,0,
히메노 다로지,姫野太郎次,1,4,3,0,0,0,0,
가나모리 리키자부로,金森力三郎,1,3,1,1,0,0,0,
가쓰라 다로,桂太郎,0,3,3,0,0,0,0,신규: 육군대장(단락 412·900)
고가 쇼지,古賀省二,1,3,1,0,0,0,0,
고영희,高永喜,0,3,3,0,0,0,0,신규: 탁지부대신 — 2차 검증 누락 반영
구보타 고로,窪田梧樓,0,3,1,0,0,0,0,신규: 변호사(단락 464)
구보타 베이센,久保田米僊,1,3,1,0,0,0,0,
김직현,金稷鉉,0,3,2,1,0,0,0,"신규: 관찰사(1899.2~1900.7, 대구부사 부록) — 대구물어 표기 이직현(李稷絃)은 이표기(사용자 확정 2026-07-09)"
나가타니 다카시,永谷隆志,1,3,2,1,0,0,0,
노구치 히로키,野口弘毅,1,3,1,0,0,0,0,
다니 히코이치,谷彦一,1,3,2,0,0,0,0,
데와 시게토,出羽重遠,1,3,1,0,0,0,0,
도고 헤이하치로,東郷平八郎,0,3,3,0,0,0,0,신규: 해군대장(단락 108·336·900)
도야마 요타로,富山要太郎,1,3,2,0,0,0,0,
마키 노우지,牧農治,1,3,1,0,0,0,0,
미와 미쓰기,三輪光儀,1,3,2,0,0,1,0,
미우라 쇼이치로,三浦庄一郎,1,3,2,1,0,1,0,
사사키 마사,佐々木昌,1,3,1,0,0,0,0,
사카타 분키치,阪田文吉,1,3,2,0,0,0,0,
사토 이사부로,佐藤伊三郎,1,3,1,0,1,1,0,
시노하라 이마시로,篠原今四郎,1,3,1,0,0,0,0,
신태휴,申泰休,0,3,2,1,0,0,0,신규: 관찰사(본문 440 열거)
아다치 겐조,安達堅造,1,3,2,0,1,0,0,
아리요시 주이치,有吉忠一,1,3,2,0,0,0,0,
엄성구,嚴星九,1,3,2,0,0,0,0,
오바 간이치,大庭貫一,1,3,1,0,0,0,0,
오우라 다스케,大浦佐,1,3,2,0,0,0,0,
오카무라 하쓰노스케,岡村初之助,1,3,1,0,0,0,0,
오카우메 사부로,岡楳三郎,1,3,1,0,0,0,0,
오카키 시치로,岡喜七郎,2,3,2,0,0,0,0,
오하시 마쓰다로,大橋松太郎,1,3,1,0,0,0,0,
요시다 다카모토,吉田孝基,1,3,1,0,0,0,0,
요시오카 다다이치,吉岡唯一,1,3,1,0,0,0,0,
우치야마 요네타로,内山米太郎,1,3,2,0,0,0,0,
이노우에 요시리,井上義理,1,3,1,0,0,0,0,
이병무,李秉武,0,3,3,0,0,0,0,신규: 군부대신 — 2차 검증 누락 반영
이와쿠라 도모사다,岩倉具定,1,3,2,0,0,0,0,
이위종,李瑋鍾,0,3,2,0,0,0,0,신규: 헤이그 밀사 — 검증시트 누락 반영
이준,李儁,0,3,2,0,0,0,0,신규: 헤이그 밀사 — 검증시트 누락 반영
이케베 기치주로,池辺吉十郎,1,3,1,0,0,0,0,
장승원,張承遠,0,3,2,0,0,0,0,신규: 관찰사(본문 440 열거)
하루노미야 요시히토,嘉仁,0,3,2,0,0,0,0,신규: 일본 황태자(후일 다이쇼 천황)
후쿠타 가쿠헤이,福田覺平,1,3,1,0,0,1,0,
히타카 사이지,日高才二,1,3,2,0,0,0,0,
가네미쓰 우헤이,兼光宇兵衛,1,2,1,0,0,0,0,
가네코 기이치,金子毅一,1,2,1,0,0,0,0,
가도치 가나,角地カナ,0,2,1,0,0,0,0,신규: 갑진회(단락 344) — 가나 이름
가메야마 리헤타로,龜山利平太,1,2,1,0,0,0,0,
가미무라 나오치카,上村直親,1,2,1,0,0,0,0,
가미야 아이키,神谷愛鄉,1,2,1,0,0,0,0,
가미타니 겐지로,神谷顯治郎,1,2,1,0,0,0,0,
가사하라 사토시,笠原覺巿,1,2,1,0,0,0,0,
가시마 쇼키치,花島庄吉,1,2,1,0,0,0,0,
가와구치 유키치,河口又吉,1,2,1,0,0,1,0,
가와노 데쓰지로,河野鐵次郎,1,2,1,0,0,0,0,
가와무라 기사부로,河村義三郎,1,2,1,0,0,0,0,
가와미치 노부타쓰,川滿布建,1,2,1,0,0,0,0,
가와카쓰 우메키치,川勝梅吉,1,2,1,0,0,0,0,
가즈 요시타로,紀芳太郎,1,2,1,0,0,0,0,
가토 지카,加藤千賀,1,2,1,0,0,0,0,
고가 이사무,古賀勇,1,2,1,0,0,0,0,
고다이라 에이키치,小平英吉,1,2,1,0,0,0,0,
고미 잇페이,五味逸平,1,2,1,0,0,0,0,
고야마(이토 수행원),小山,0,2,1,0,1,1,1,신규: 이토 통감 수행(단락 908) — 고야마 시치로와 별개(사용자 확인)
고영근,高永根,0,2,1,0,0,0,0,신규: 우범선 암살(단락 135)
고즈마 도시히데,高妻俊秀,1,2,1,0,0,0,0,
고지마 구마노조,小島熊之丞,1,2,1,0,0,0,0,
고토 요시쓰구,後藤善次,1,2,1,0,0,0,0,
고토 진키치,五島甚吉,1,2,1,0,0,0,0,
곤도 렌페이,近藤廉平,1,2,1,0,0,0,0,
구니노주 긴지로,國の十金次郎,0,2,1,0,0,0,0,신규: 단락 737 — 예명 추정
구니히로 게이치,國廣慶一,1,2,1,0,0,0,0,
구니히로 마코토,國廣誠,1,2,1,0,0,0,0,
구도 도시오,工藤敏夫,1,2,1,0,0,0,0,
구도 주스케,工藤忠助,1,2,1,0,0,0,0,
구로노 기요쓰구,黑野喜代次,1,2,1,0,0,0,0,
구스카케 다니지로,沓谷次郎,1,2,1,0,0,0,0,
기리오카 긴조,桐岡金三,1,2,1,0,0,0,0,
