한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
이토 기치사부로,伊藤吉三郎,일본인,8,4,427,1909,1906-1909,,,,,1,1,1,0,,,,,,,,,"종이·문방구상(이토상점, 대화정); 보험대리",경북요람(1910년대) p.249,,,,,,,,,,"종이·문방구상(이토상점, 대화정); 보험대리",경북요람(1910년대) p.249,,
이토 쓰네조,伊藤恆藏,일본인,8,2,234,1905,1905-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마루야마 시게토시,丸山重俊,일본인,7,4,385,1907,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
세노 히사타로,妹尾久太郎,일본인,7,4,361,1906,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
소가와 유타카,祖川豊,일본인,7,3,1003,1908,1907-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아카시 오토키치,明石音吉,일본인,7,3,29,1904,1903-1905,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
오치 와스케,越智和助,일본인,7,4,46,1905,1904-1905,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
유아사 히데토미,湯浅秀富,일본인,7,4,1128,1908,1908-1909,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이근호,李根浩,조선인,7,3,412,1906,1906-1906,,,,1904(단락414),1,0,0,0,,,,,,1904,대구물어,,,,,,,,,,,,대구물어(1930) 1904(단락414),,,경상북도관찰사 1906.1~1906.5(태왕43년 병오),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
하자마 후사타로,迫間房太郎,일본인,7,2,131,1907,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
히와타시 세이에이,樋渡淸榮,일본인,7,3,250,1907,1905-1907,대구소학교,,고시마현(단락250),,0,0,0,0,,,,,고시마현,,대구물어,,,,,,,,,,,대구물어(1930) 고시마현(단락250),,,,,
기우치 주시로,木内重四郎,일본인,6,3,385,1907,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다무라 곤조,田村權藏,일본인,6,2,602,1906,1906-1908,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
