한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
가와구치 유키치,河口又吉,일본인,2,1,344,1904,1904-1904,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
가와노 데쓰지로,河野鐵次郎,일본인,2,1,1371,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가와무라 기사부로,河村義三郎,일본인,2,1,310,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가와미치 노부타쓰,川滿布建,일본인,2,1,1351,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가와카쓰 우메키치,川勝梅吉,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가즈 요시타로,紀芳太郎,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가토 지카,加藤千賀,일본인,2,1,1311,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고가 이사무,古賀勇,일본인,2,1,1063,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고다이라 에이키치,小平英吉,일본인,2,1,1303,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고미 잇페이,五味逸平,일본인,2,1,1121,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고야마(이토 수행원),小山,일본인,2,1,908,1907,1907-1907,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
고영근,高永根,조선인,2,1,135,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고즈마 도시히데,高妻俊秀,일본인,2,1,778,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고지마 구마노조,小島熊之丞,일본인,2,1,58,1905,1905-1905,임시일본인대회,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고토 요시쓰구,後藤善次,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고토 진키치,五島甚吉,일본인,2,1,1345,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
곤도 렌페이,近藤廉平,일본인,2,1,370,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구니노주 긴지로,國の十金次郎,일본인,2,1,737,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구니히로 게이치,國廣慶一,일본인,2,1,1311,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구니히로 마코토,國廣誠,일본인,2,1,1301,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구도 도시오,工藤敏夫,일본인,2,1,1336,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구도 주스케,工藤忠助,일본인,2,1,1336,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구로노 기요쓰구,黑野喜代次,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구스카케 다니지로,沓谷次郎,일본인,2,1,1284,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기리오카 긴조,桐岡金三,일본인,2,1,131,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기무라 오시로,木村大代,일본인,2,1,1334,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기시모토 기미,岸本キミ,일본인,2,1,1301,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기쿠치 나가후,菊池長風,일본인,2,1,392,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기타가와 지헤이,北川治兵衛,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기타무라 도시오,北村俊男,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
김백여,金柏汝,조선인,2,1,707,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나가노 다카이치,長野高一,일본인,2,1,1301,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나베시마 게이지로,鍋島桂次郎,일본인,2,1,385,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나이토,内藤,일본인,2,1,908,1907,1907-1907,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카가와 다헤이,中川太平,일본인,2,1,112,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카무라 신로쿠,中牟田辰六,일본인,2,1,1367,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카쓰카 로쿠스케,中塚六助,일본인,2,1,344,1904,1904-1904,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카야마 만조,中山萬三,일본인,2,1,1311,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카야마 히사키치,中山久吉,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카에 도미주로,中江富十郎,일본인,2,1,323,1905,1905-1905,,,,,1,0,1,1,"미나카이(三中井) 포목점(모토마치, 지점 진주) 주인",시가 현,,,시가 현,,조선대구일반(1911),"미나카이(三中井) 포목점(모토마치, 지점 진주) 주인. 시가 현 간자키 군 고카쇼, 1909.6 미나카이 상호 계승 개점. pp.242~243.",,,,,,,,,조선대구일반(1911) pp.242~243,조선대구일반(1911) pp.242~243,,"미나카이(三中井) 포목점(모토마치, 지점 진주) 주인",조선대구일반(1911) pp.242~243,,
나카이 긴조,中井金城,일본인,2,1,392,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
노다 헤이지로,野田平次郎,일본인,2,1,826,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
노다 히코지로,野田彥次郎,일본인,2,1,739,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
노무라 후사요시,野村房吉,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
노시마 스스무,能島進,일본인,2,1,1067,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
니노미야 규지,二宮久次,일본인,2,1,1367,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
니시모토 온키치,西本音吉,일본인,2,1,381,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
니시무라 다케지로,西村竹次郎,일본인,2,1,1357,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
니시무라 우이치로,西村右一郎,일본인,2,1,58,1905,1905-1905,임시일본인대회,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
니시바야시 준스케,西林純助,일본인,2,1,1260,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
니시야마 쓰네,西山ツネ,일본인,2,1,795,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
니시야마 주스케,西山重助,일본인,2,1,468,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
니타니 마쓰스케,新谷松助,일본인,2,1,241,1905,1905-1905,달성학교,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다나카 준지,田中順次,일본인,2,1,303,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다나카 후지타로,田中藤太郎,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다니구치 세이노스케,谷口清之助,일본인,2,1,58,1905,1905-1905,임시일본인대회,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다카누키 세이치,高貫政一,일본인,2,1,737,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다카다 신보,高田信豐,일본인,2,1,1319,1909,1909-1909,,,,1918(단락1319),0,0,0,0,,,,,,1918,대구물어,,,,,,,,,,,,대구물어(1930) 1918(단락1319),,,,
다카마쓰 요시에,高松芳江,일본인,2,1,708,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다카야마 히데오,高山英男,일본인,2,1,739,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다카키 신지,高木信二,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다카하시 우스케,高橋卯助,일본인,2,1,344,1904,1904-1904,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
다케우치 가이치로,竹内嘉一郎,일본인,2,1,662,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다케우치 도라조,竹內寅造,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다케자키 로쿠지로,竹崎六次郎,일본인,2,1,889,1907,1907-1907,,,,,1,0,1,0,,,,,,,,,대구부윤,경북요람(1910년대) p.218,,,,,,,,,,대구부윤,경북요람(1910년대) p.218,,
다케카와 조,武川チョ,일본인,2,1,1299,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다키타 기누조,田北網,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다테시마 료사부로,立島領三郎,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
도미타 이타루,富田格,일본인,2,1,1166,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
도요타 게이조,豐田敬藏,일본인,2,1,58,1905,1905-1905,임시일본인대회,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
도조 쇼헤이,東條正平,일본인,2,1,1319,1909,1909-1909,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
류 고키치,龍浩吉,일본인,2,1,368,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마스다 노부유키,增田信之,일본인,2,1,271,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰나가 후사시치,松永房七,일본인,2,1,788,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰다 신페이,松田眞平,일본인,2,1,1303,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰다 젠에이,松田善衛,일본인,2,1,1357,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰모토 다카쓰구,松本孝次,일본인,2,1,1301,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰시타 나오히데,松下直英,일본인,2,1,627,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰오 이와키치,松尾岩吉,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰이 사다요시,松井貞義,일본인,2,1,1307,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰이 이치타로,松井市太郎,일본인,2,1,339,1904,1904-1904,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
마치다 사타오,町田佐太夫,일본인,2,1,807,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마키 준이치로,牧純淳一郎,일본인,2,1,76,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
모로네 젠조,諸根善藏,일본인,2,1,739,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
모리모토 도네쓰키,森本都音樹,일본인,2,1,344,1904,1904-1904,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
모리모토 마사타로,森本政太郎,일본인,2,1,664,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
모리사키 시카마쓰,森崎鹿松,일본인,2,1,576,1909,1909-1909,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
모리타 로쿠오,守田六男,일본인,2,1,803,1907,1907-1907,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
모모하라 야오조,桃原八百造,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
모쿠자키 야소하치,目崎八十八,일본인,2,1,683,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
무라마쓰 스케유키,村松祐之,일본인,2,1,1161,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
무라오카 시게루,村岡茂,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
무라오카 후데타로,村岡筆太郎,일본인,2,1,662,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
무라카미 도모요시,村上知義,일본인,2,1,1359,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
무라카와 가이치,村川嘉一,일본인,2,1,229,1905,1905-1905,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
무로타 요시부미,室田義文,일본인,2,1,1383,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
무카이 도모키치,向井友吉,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
무타,牟田,일본인,2,1,908,1907,1907-1907,,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
미네 하치로,嶺八郎,일본인,2,1,1216,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미네키시 시게타로,峰岸繁太郎,일본인,2,1,1067,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미사와 도시오,三澤俊雄,일본인,2,1,1299,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미사와 마사오,三澤昌雄,일본인,2,1,1301,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미쓰나리 도모사부로,光成友三郎,일본인,2,1,1319,1909,1909-1909,,,,1918(단락1319),0,0,1,0,,,,,,1918,대구물어,,,,,,,,,,,,대구물어(1930) 1918(단락1319),,,,
미야마 요시노스케,三山芳之助,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미야오카,宮岡,일본인,2,1,908,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미야이 마사카즈,宮井正一,일본인,2,1,523,1907,1907-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
미야자키 고쿠조,宮崎穀造,일본인,2,1,1372,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미야케 아키타로,三宅明太郎,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미와 노부오,三輪伸雄,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미와 유리,三輪ユリ,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미즈타 야스지로,水田安次郎,일본인,2,1,1371,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미하라 나오유키,三原直之,일본인,2,1,737,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미하시 지요타로,三橋千代太郎,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
민영직,閔泳直,조선인,2,1,763,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
박성초,朴成初,조선인,2,1,708,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
박영효,朴泳孝,조선인,2,2,497,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
박준효,朴準孝,조선인,2,1,770,1907,1907-1907,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
백남준,白南俊,조선인,2,1,763,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사사마 조,笹間定,일본인,2,1,737,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사에키 히코이치,佐伯彦一,일본인,2,1,1260,1909,1909-1909,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
사이토 소시로,齋藤宗四郎,일본인,2,1,1121,1908,1908-1908,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사이토 쇼자부로,齋藤庄三郎,일본인,2,1,1336,1909,1909-1909,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사이토 헤이키치,斎藤兵吉,일본인,2,1,735,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사카마키 기쿠노조,酒巻菊之丞,일본인,2,1,651,1907,1907-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
사카이 가네키치,堺兼吉,일본인,2,1,1260,1909,1909-1909,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
사카이 사쿠조,酒井作藏,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사코 우타코,酒匂歌子,일본인,2,1,1297,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사토 스스무,佐藤進,일본인,2,1,678,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
센가 다마키,千賀環,일본인,2,1,381,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
손문옥,孫文玉,조선인,2,1,708,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스기하라 조타로,杉原長太郎,일본인,2,1,568,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스에마쓰 겐초,末松謙澄,일본인,2,1,928,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스에마쓰 긴지로,末松金次郎,일본인,2,1,300,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스에이시 모스케,末石茂助,일본인,2,1,1260,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스에자와 요이치,末澤與市,일본인,2,1,708,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스즈키 이리시게,鈴木入重,일본인,2,1,1299,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시가 주코,志賀重昂,일본인,2,1,421,1906,1906-1906,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
시모바야시 야스타케,下林保武,일본인,2,1,1371,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시모조 효자부로,下條兵三郎,일본인,2,1,301,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시타가와 하루,下川ハル,일본인,2,1,795,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
쓰치다 준사쿠,土田順作,일본인,2,1,882,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
쓰치야 시게사쿠,土屋重作,일본인,2,1,737,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
쓰카하라 보쿠덴,塚原卜傳,일본인,2,1,285,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아다치 다키지로,足立瀧二郎,일본인,2,1,1345,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아베 기노스케,安部喜之助,일본인,2,1,302,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아베 도시로,阿部藤四郎,일본인,2,1,339,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아오누마 규이치로,青沼九一郎,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아오누마 쇼타,青沼勝太,일본인,2,1,1309,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아오시마 구메조,青島久米造,일본인,2,1,381,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아카시 세이,明石セイ,일본인,2,1,1307,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아카시 세이코,,일본인,2,1,260,1905,1905-1905,대구소학교,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아카시 야스이치로,赤司安一郎,일본인,2,1,1369,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아카쿠라 야타로,赤倉彌太郎,일본인,2,1,731,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아키모토 세이타로,秋本政太郎,일본인,2,1,58,1905,1905-1905,임시일본인대회,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아키야마 시카렌,秋山鹿連,일본인,2,1,381,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
안노 세이,安武セイ,일본인,2,1,1309,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
안도 마사지로,安藤正次郎,일본인,2,1,889,1907,1907-1907,,,,,1,0,0,0,,,,,,,,,대구경찰서장,경북요람(1910년대) p.218,,,,,,,,,,대구경찰서장,경북요람(1910년대) p.218,,
야마가미 사다나오,山上定直,일본인,2,1,1371,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마네 마사지,山根政治,일본인,2,1,687,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마노 우에쿠니,,일본인,2,1,260,1905,1905-1905,대구소학교,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마다 고지,山田孝次,일본인,2,1,1357,1907,1907-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
야마다 기쿠지로,山田菊次郎,일본인,2,1,807,1907,1907-1907,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
야마다 사다카즈,山田貞一,일본인,2,1,1307,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마다 슈조,山田周藏,일본인,2,1,735,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마다 신타로,山田信太朗,일본인,2,1,1372,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마다 우메지로,山田梅次郎,일본인,2,1,344,1904,1904-1904,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
야마다 히로미치,山田博道,일본인,2,1,260,1905,1905-1905,대구소학교,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마모토 준이치,山本純一,일본인,2,1,1345,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마시타 사카에,山下サカエ,일본인,2,1,707,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마자키 도모사부로,山崎友三郎,일본인,2,1,653,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야스다 구스지,保田楠二,일본인,2,1,1369,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야오 교조,八尾恭三,일본인,2,1,1319,1909,1909-1909,,,,1918(단락1319),0,0,0,0,,,,,,1918,대구물어,,,,,,,,,,,,대구물어(1930) 1918(단락1319),,,,
야하시 요시타네,矢橋良胤,일본인,2,1,873,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
양재훈,梁在薰,조선인,2,1,772,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
에이 산타로,江伊三太郎,일본인,2,1,731,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오가 기사부로,大賀喜三郎,일본인,2,1,662,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오가사 구마지로,小笠熊治郞,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오가와 가쓰히라,小川勝平,일본인,2,1,464,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오노 구라타,小野庫太,일본인,2,1,1336,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오니즈카 슈이쓰,鬼塚秀逸,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오다 덴,織田傳,일본인,2,1,1299,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오다 리사쿠,小田利作,일본인,2,1,381,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오다와라 류이치,小田原留一,일본인,2,1,1311,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오리토 기요이치,織戸吉代一,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오무라 모토요,大村大代,일본인,2,1,1123,1908,1908-1908,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오바 데쓰조,大場鐡象,일본인,2,1,655,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오쓰카 지카미,大塚親見,일본인,2,1,1307,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오에 류타로,大江隆太郞,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오옥경,吳玉景,조선인,2,1,706,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
